Lekcja,Link do lekcji,Scenariusz,Opis,Link
Przegląd dostępnych metod instalacji n8n (01:04),https://learn.sensai.academy/next/public/lesson/315,-,-,-
n8n w wersji cloud (05:09),https://learn.sensai.academy/next/public/lesson/321,-,-,-
Instalacja n8n na własnym komputerze (08:00),https://learn.sensai.academy/next/public/lesson/317,Instrukcja instalacji na localhost,Instrukcja instalacji na localhost,./LOKALNY_LOCALHOST_N8N
Instalacja n8n na Railway (04:57),https://learn.sensai.academy/next/public/lesson/318,-,-,-
Instalacja n8n na Elestio (08:08),https://learn.sensai.academy/next/public/lesson/319,-,-,-
Instalacja n8n na Hetznerze (lub dowolnym VPS) (40:49),https://learn.sensai.academy/next/public/lesson/316,Instrukcja instalacji na VPS,Instrukcja instalacji na VPS,./INSTALACJA_N8N/VPS_n8n_with_workers
Przegląd interfejsu n8n i omówienie wyzwalaczy (14:42),https://learn.sensai.academy/next/public/lesson/320,-,-,-
Import i eksport gotowych scenariuszy automatyzacji (04:48),https://learn.sensai.academy/next/public/lesson/322,-,-,-
Wprowadzenie do tworzenia workflow w n8n (21:30),https://learn.sensai.academy/next/public/lesson/325,proste_formularze.json,Scenariusz tworzy prosty formularz do wprowadzania słów kluczowych z walidacją - sprawdza czy wprowadzone słowo nie zawiera przecinka i wyświetla odpowiedni komunikat sukcesu lub błędu.,./proste_formularze.json
Pobieranie i przetwarzanie danych ze stron internetowych (27:44),https://learn.sensai.academy/next/public/lesson/310,Pobieranie-i-przetwarzanie-danych-ze-stron-internetowych.json,Scenariusz pobiera nagłówki (h1-h6) i treść strony internetowej (konwertowaną na Markdown) na podstawie podanego URL i zwraca je w odpowiedzi.,./Pobieranie-i-przetwarzanie-danych-ze-stron-internetowych.json
Korzystanie z zewnętrznych usług przez API (Perplexity) (17:10),https://learn.sensai.academy/next/public/lesson/312,korzystanie_z_zewnetrznych_api___perplexity.json,-,./korzystanie_z_zewnetrznych_api___perplexity.json
Automatyczne odświeżanie tokena API w n8n (Senuto) (10:03),https://learn.sensai.academy/next/public/lesson/313,Automatyczne_odswiezanie_tokena-API--w-n8n-na-przykladzie-Senuto.json,-,./Automatyczne_odswiezanie_tokena-API--w-n8n-na-przykladzie-Senuto.json
Korzystanie z zewnętrznych API - widoczność domeny w Senuto (07:43),https://learn.sensai.academy/next/public/lesson/314,_tool_seunto_domain_visibility.json,-,./_tool_seunto_domain_visibility.json
Połączenie usług Google z n8n (16:09),https://learn.sensai.academy/next/public/lesson/307,-,-,-
Pobieranie danych z Google Trends (14:13),https://learn.sensai.academy/next/public/lesson/308,Google_Pobranie_danych_z_Trends.json,-,./Google_Pobranie_danych_z_Trends.json
Eksport tekstu do Google Docs (12:57),https://learn.sensai.academy/next/public/lesson/309,export_HTML_do_google_docs.json,"Scenariusz konwertuje treść w formacie Markdown na HTML, a następnie eksportuje ją do nowego dokumentu w Google Docs.",./export_HTML_do_google_docs.json
Integracja n8n z Wordpressem,https://learn.sensai.academy/next/public/lesson/330,Wordpress_Create_Post.json,"Scenariusz pobiera dane z Google Sheets, importuje treść z Google Docs, a następnie tworzy nowy wpis w WordPressie i aktualizuje status w arkuszu.",./Wordpress_Create_Post.json
Integracja n8n z Wordpressem (cz. 2) - grafika wyróżniająca,https://learn.sensai.academy/next/public/lesson/331,Wordpress___grafika_wyr__niaj_ca.json,-,./Wordpress___grafika_wyr__niaj_ca.json
Korzystanie z wektorowej bazy danych w n8n,https://learn.sensai.academy/next/public/lesson/329,qdrant___drive___docs.json,-,./qdrant___drive___docs.json
Blok agenta w n8n,https://learn.sensai.academy/next/public/lesson/328,blok_agenta.json,-,./blok_agenta.json
Agent AI korzystający z zewnętrznych API,https://learn.sensai.academy/next/public/lesson/327,Agent_SEO___MASTER.json,-,./Agent_SEO___MASTER.json
Rozmowa ze stroną w n8n (20:02),https://learn.sensai.academy/next/public/lesson/326,rozmawiaj_ze_stron_.json,-,./rozmawiaj_ze_stron_.json
Łączenie n8n z Telegramem (24:20),https://learn.sensai.academy/next/public/lesson/324,SensaiBot_telegram.json,-,./SensaiBot_telegram.json
Łączenie n8n ze Slackiem (28:19),https://learn.sensai.academy/next/public/lesson/323,SensaiBot_slack.json,-,./SensaiBot_slack.json
Praca domowa do tygodnia 5 i 6,https://learn.sensai.academy/next/public/lesson/332,-,-,-